         11980 function calls (11725 primitive calls) in 0.066 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14/12    0.000    0.000    0.000    0.000 :0(__build_class__)
     14/5    0.000    0.000    0.015    0.003 :0(__import__)
        9    0.000    0.000    0.000    0.000 :0(__new__)
       22    0.000    0.000    0.001    0.000 :0(_abc_instancecheck)
     59/3    0.000    0.000    0.001    0.000 :0(_abc_subclasscheck)
        8    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       79    0.000    0.000    0.000    0.000 :0(acquire_lock)
        5    0.000    0.000    0.000    0.000 :0(all)
       42    0.000    0.000    0.000    0.000 :0(allocate_lock)
       16    0.000    0.000    0.000    0.000 :0(any)
       47    0.000    0.000    0.000    0.000 :0(append)
       11    0.000    0.000    0.000    0.000 :0(arange)
    65/64    0.000    0.000    0.000    0.000 :0(array)
        3    0.000    0.000    0.000    0.000 :0(array_equivalent_object)
        1    0.000    0.000    0.000    0.000 :0(array_to_datetime)
        6    0.000    0.000    0.000    0.000 :0(callable)
        3    0.000    0.000    0.000    0.000 :0(checknull)
        3    0.000    0.000    0.002    0.001 :0(clean_index_list)
        1    0.000    0.000    0.000    0.000 :0(close)
        3    0.000    0.000    0.000    0.000 :0(copy)
       21    0.000    0.000    0.000    0.000 :0(empty)
        1    0.000    0.000    0.000    0.000 :0(encode)
       12    0.000    0.000    0.000    0.000 :0(endswith)
        9    0.000    0.000    0.000    0.000 :0(ensure_int64)
       18    0.000    0.000    0.000    0.000 :0(ensure_object)
        5    0.000    0.000    0.000    0.000 :0(ensure_platform_int)
      8/3    0.000    0.000    0.009    0.003 :0(exec)
       14    0.000    0.000    0.000    0.000 :0(extend)
        4    0.000    0.000    0.000    0.000 :0(fill)
        1    0.000    0.000    0.000    0.000 :0(find)
       21    0.000    0.000    0.000    0.000 :0(format)
       24    0.000    0.000    0.000    0.000 :0(from_bytes)
       31    0.000    0.000    0.000    0.000 :0(fspath)
      126    0.000    0.000    0.000    0.000 :0(get)
       44    0.000    0.000    0.000    0.000 :0(get_ident)
        1    0.000    0.000    0.000    0.000 :0(get_indexer)
        2    0.000    0.000    0.000    0.000 :0(get_loc)
      530    0.001    0.000    0.001    0.000 :0(getattr)
        8    0.000    0.000    0.000    0.000 :0(geterrobj)
        1    0.000    0.000    0.000    0.000 :0(getfilesystemencoding)
      221    0.001    0.000    0.001    0.000 :0(hasattr)
        4    0.000    0.000    0.000    0.000 :0(hash)
        2    0.000    0.000    0.000    0.000 :0(index)
        6    0.000    0.000    0.000    0.000 :0(infer_datetimelike_array)
        8    0.000    0.000    0.001    0.000 :0(infer_dtype)
        1    0.000    0.000    0.000    0.000 :0(is_builtin)
        4    0.000    0.000    0.000    0.000 :0(is_datetime_array)
        7    0.000    0.000    0.000    0.000 :0(is_float)
       11    0.000    0.000    0.000    0.000 :0(is_frozen)
       10    0.000    0.000    0.000    0.000 :0(is_integer)
       22    0.000    0.000    0.000    0.000 :0(is_scalar)
     1437    0.004    0.000    0.007    0.000 :0(isinstance)
        1    0.000    0.000    0.000    0.000 :0(isnaobj)
      255    0.001    0.000    0.001    0.000 :0(issubclass)
        1    0.000    0.000    0.000    0.000 :0(issubset)
       25    0.000    0.000    0.000    0.000 :0(items)
       11    0.000    0.000    0.000    0.000 :0(iter)
     1100    0.009    0.000    0.015    0.000 :0(join)
        1    0.000    0.000    0.000    0.000 :0(keys)
  273/224    0.001    0.000    0.001    0.000 :0(len)
        3    0.000    0.000    0.000    0.000 :0(listdir)
        8    0.001    0.000    0.001    0.000 :0(loads)
       26    0.000    0.000    0.000    0.000 :0(lower)
        1    0.000    0.000    0.000    0.000 :0(maybe_convert_bool)
        1    0.000    0.000    0.000    0.000 :0(maybe_convert_numeric)
        1    0.000    0.000    0.000    0.000 :0(nonzero)
        1    0.000    0.000    0.000    0.000 :0(ord)
      109    0.000    0.000    0.000    0.000 :0(pop)
        1    0.000    0.000    0.000    0.000 :0(putmask)
        7    0.000    0.000    0.000    0.000 :0(ravel)
        9    0.003    0.000    0.004    0.000 :0(read)
        8    0.000    0.000    0.000    0.000 :0(reduce)
       79    0.000    0.000    0.000    0.000 :0(release_lock)
        4    0.000    0.000    0.000    0.000 :0(remove)
        1    0.000    0.000    0.000    0.000 :0(reshape)
       90    0.000    0.000    0.000    0.000 :0(rpartition)
      178    0.000    0.000    0.000    0.000 :0(rstrip)
        1    0.000    0.000    0.000    0.000 :0(sanitize_objects)
        1    0.000    0.000    0.000    0.000 :0(scalar_compare)
        4    0.000    0.000    0.000    0.000 :0(search)
        2    0.000    0.000    0.000    0.000 :0(set_noconvert)
       30    0.000    0.000    0.000    0.000 :0(setattr)
        4    0.000    0.000    0.000    0.000 :0(seterrobj)
        1    0.001    0.001    0.001    0.001 :0(setprofile)
        3    0.000    0.000    0.000    0.000 :0(sorted)
       90    0.000    0.000    0.000    0.000 :0(split)
       21    0.000    0.000    0.000    0.000 :0(startswith)
       42    0.001    0.000    0.001    0.000 :0(stat)
        2    0.000    0.000    0.000    0.000 :0(sum)
        3    0.000    0.000    0.000    0.000 :0(take)
        1    0.000    0.000    0.000    0.000 :0(take_1d_object_object)
        1    0.000    0.000    0.000    0.000 :0(take_2d_axis0_int64_int64)
        1    0.000    0.000    0.000    0.000 :0(take_2d_axis1_float64_float64)
        1    0.000    0.000    0.000    0.000 :0(take_2d_axis1_object_object)
        1    0.000    0.000    0.000    0.000 :0(tolist)
        6    0.000    0.000    0.000    0.000 :0(update)
        5    0.000    0.000    0.000    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(values)
       10    0.000    0.000    0.000    0.000 :0(values_from_object)
       27    0.000    0.000    0.000    0.000 :0(view)
  102/100    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     21/6    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      8/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:663(_load_unlocked)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
       11    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     21/5    0.000    0.000    0.015    0.003 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     21/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:978(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       14    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       81    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       81    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
      8/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap_external>:722(exec_module)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
